property_id,name,type,year_built,sqft,market_value_musd,latitude,longitude
P01,Adobe Campus Tower,Office,2015,620000,450,37.3330,-121.8925
P02,Downtown Commons Residences,Residential,2019,340000,380,37.3410,-121.8890
P03,City View Office Plaza,Office,1987,450000,280,37.3370,-121.8905
P04,Santa Clara Street Retail,Retail,1952,45000,35,37.3378,-121.8870
P05,San Pedro Square Mixed-Use,Mixed-Use,2005,220000,195,37.3376,-121.8940
P06,Japantown Lofts,Residential,1920,95000,88,37.3445,-121.8945
P07,Paseo Office Center,Office,1998,320000,260,37.3362,-121.8895
P08,Southside Industrial,Industrial,1965,180000,62,37.3315,-121.8920
P09,The Fairmont Residences,Residential,2010,140000,225,37.3328,-121.8870
P10,Tech Corridor Offices,Office,1989,280000,180,37.3392,-121.8810
