stop_id,name,latitude,longitude
SJ01,Santa Clara & 1st,37.3380,-121.8901
SJ02,San Carlos & 1st,37.3345,-121.8895
SJ03,San Fernando & 1st,37.3360,-121.8897
SJ04,Market & Santa Clara,37.3383,-121.8913
SJ05,2nd & San Fernando,37.3357,-121.8884
SJ06,San Pedro & Santa Clara,37.3385,-121.8934
SJ07,Almaden & San Carlos,37.3340,-121.8935
SJ08,4th & Santa Clara,37.3373,-121.8870
SJ09,10th & San Fernando,37.3363,-121.8830
SJ10,7th & San Carlos,37.3345,-121.8847
SJ11,Jackson & 5th (Japantown),37.3485,-121.8925
SJ12,Taylor & 6th (Japantown),37.3508,-121.8919
SJ13,Coleman & Taylor,37.3605,-121.9095
SJ14,1st & Rosemary,37.3545,-121.9005
SJ15,Airport Blvd & Technology,37.3638,-121.9170
SJ16,Stevens Creek & Meridian,37.3225,-121.9325
SJ17,Bascom & Hamilton,37.3065,-121.9345
SJ18,Lincoln & Willow (Willow Glen),37.3015,-121.9110
SJ19,Lincoln & Hamilton,37.3085,-121.9165
SJ20,Meridian & Hamilton,37.3070,-121.9275
SJ21,Alum Rock & King (East Side),37.3535,-121.8430
SJ22,Story & King,37.3310,-121.8455
SJ23,McKee & Jackson,37.3555,-121.8715
SJ24,King & San Antonio,37.3350,-121.8450
SJ25,10th & Hedding,37.3593,-121.8770
SJ26,Keyes & Vine,37.3205,-121.8895
SJ27,Almaden & Vine,37.3185,-121.8920
SJ28,Bird & Willow,37.3060,-121.8955
SJ29,Senter & Tully,37.3130,-121.8685
SJ30,7th & Reed,37.3200,-121.8815
